indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Raw_material_consumption,Italy,Thousand tonnes,,,,,,,,,1037562.0,934626.3,866854.1,877839.8,717068.9,647249.5,640748.9,632818.1,640878.8,617371.7,619750.5,610964.6,558402.8,627000.9,619511.7,610933.431
Raw_material_consumption,Latvia,Thousand tonnes,18418.902,20243.471,22929.491,25865.345,28297.891,32388.658,36768.634,40088.86,35387.058,21753.995,24444.718,29755.4,27681.412,30494.44,31163.62,32309.09,29023.05,33589.15,33109.51,33200.73,32234.17,35247.98,36277.96,36844.166
Raw_material_consumption,Lithuania,Thousand tonnes,,,,,,,,,58435.251,38480.103,42725.684,48269.826,43632.933,51509.224,50791.869,48129.089,51539.871,57353.966,56573.577,57453.922,61105.868,65012.918,62557.28,65891.405
Raw_material_consumption,Luxembourg,Thousand tonnes,13596.403,13239.738,15119.807,15461.235,16344.995,17069.236,17531.275,17967.033,18981.466,17469.603,16470.372,16980.835,15800.645,16667.953,16601.897,19160.366,17979.116,19337.361,17226.049,16782.079,17270.525,17634.447,20709.612,21359.36
Raw_material_consumption,Malta,Thousand tonnes,,,,,,,,,7158.682,6829.699,5710.463,5656.532,4928.618,5361.915,5098.261,6218.748,5455.781,5044.929,4845.347,5538.704,5719.155,4853.698,5494.909,3394.953
Raw_material_consumption,Netherlands,Thousand tonnes,,,,,,,,,221395.2,181682.1,184988.8,199994.1,170103.3,153150.1,155656.052,182995.678,141703.755,135865.833,155102.647,161236.549,161581.574,151685.963,150801.6,108448.06
Raw_material_consumption,Poland,Thousand tonnes,,,,,,,,,591980.4,576326.1,583713.4,720987.5,608545.0,572261.0,575541.3,562520.6,575894.3,625701.4,637883.3,610400.1,591016.5,596651.5,591141.9,578466.125
Raw_material_consumption,Portugal,Thousand tonnes,,,,,,,,,265686.583,236062.662,208527.576,192516.907,169088.185,145053.572,160162.875,167716.034,158949.158,177303.018,175472.957,177685.321,160035.635,188989.099,167291.7,174190.545
Raw_material_consumption,Romania,Thousand tonnes,,,,,,,,,473140.868,366071.847,278256.733,388325.115,359715.752,354053.837,370392.694,444308.804,453227.662,422912.013,456025.953,541630.112,565843.594,583082.748,578437.1,631354.057
Raw_material_consumption,Slovakia,Thousand tonnes,,,,,,,,,106559.5,82934.21,79721.64,80177.88,67876.5,69149.74,77212.98,81544.33,84113.66,83866.59,82474.39,77944.21,74265.71,73572.85,75327.5,73018.224
Raw_material_consumption,Slovenia,Thousand tonnes,,,,,,,,,50533.099,43142.393,39070.478,37912.352,32158.057,33255.371,35483.14,32955.329,31049.179,33662.395,37182.293,34394.258,35168.174,43638.769,45535.9,48456.689
Raw_material_consumption,Spain,Thousand tonnes,,,,,,,,,937084.6,763129.5,627599.3,588910.2,443237.1,418076.3,433426.7,437745.1,464216.7,467254.9,515746.4,482628.8,471491.2,477513.6,453119.8,385835.575
Raw_material_consumption,Sweden,Thousand tonnes,,,,,,,,,228471.8,208264.8,223679.6,252201.0,244751.1,259463.6,248815.6,240397.6,256723.7,252920.5,264105.6,266077.4,256286.1,255858.1,264980.7,231027.399
